,ID,D,E_Brent,BE_F,Water_Injected_opex,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes
54,54,1,55,47.66958816101908,0.35,1,1,0,1,0,7851.7122,26746.4111,6825.5289,326759.3979,6825.5289,0.037752791295779166,1266627.0893,397292.789,2459581.6824,101.92977423999994
55,55,1,55,47.30998715531375,0.15,1,1,0,1,1,9863.1216,32484.5972,8586.0467,326759.3979,8586.0466,0.07331119030555551,1684827.7173,362962.4517,2355834.8804,121.89967894399993
56,56,1,55,48.3622073634013,0.2,1,1,0,1,1,9365.9994,20355.0095,8588.4626,326759.3979,8588.4626,0.07371398946650103,1684827.7173,371545.036,2503593.3873,121.89967894399993
57,57,1,55,49.42120372787063,0.25,1,1,0,1,1,8868.8772,7905.9906,8594.0955,326759.3979,8594.0955,0.07402523149252178,1684827.7173,380127.6203,2651351.8942,121.89967894399993
58,58,1,55,50.37825348301727,0.3,1,1,0,1,1,8284.4341,-4483.3083,8450.9958,326759.3979,8450.9958,0.07540531182280481,1684827.7173,388710.2046,2799110.401,121.89967894399993
59,59,1,55,51.44303383259854,0.35,1,1,0,1,1,7851.7122,-17090.0877,8487.1437,326759.3979,8487.1437,0.07561584478696436,1684827.7173,397292.789,2946868.9079,121.89967894399993
60,60,1,55,43.81664282686326,0.15,1,1,1,0,0,9863.1216,61006.6457,6859.7945,326759.3979,6859.7945,0.012332187382003205,1049076.8091,362962.4517,1599778.6367,82.08005046399992
61,61,1,55,44.94806281934763,0.2,1,1,1,0,0,9365.9994,50543.3039,6925.2868,326759.3979,6925.2868,0.012904727271298606,1049076.8091,371545.036,1714992.9072,82.08005046399992
62,62,1,55,46.086404731790566,0.25,1,1,1,0,0,8868.8772,39284.7369,6993.8271,326759.3979,6993.8271,0.013381194797974446,1049076.8091,380127.6203,1830207.1777,82.08005046399992
63,63,1,55,47.21514546298029,0.3,1,1,1,0,0,8284.4341,28860.0342,7058.1396,326759.3979,6882.6301,0.013088362436076167,1049076.8091,388710.2046,1945421.4482,82.08005046399992
