,ID,E_Brent,C_polimero,PPM,Costo_Kw_hr,PP,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
23,23,60,2.5,700,364,0.5900000000000001,0,77534.6649,0,126579.3024,126579.3024,2.9645201246157122,316409.8722,0,400526.0799,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.8658,7.8658,5.7965,5.1088,51299.2354,64244.7262,42854.8089,235933.4355,0,58204.9018,64244.7262,63876.293,312905.2234,0
24,24,70,2.5,700,364,0.5900000000000001,0,77534.6649,0,166948.6419,166948.6419,3.8621425417555337,316409.8722,0,400526.0799,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.8658,7.8658,5.7965,5.1088,51299.2354,64244.7262,42854.8089,235933.4355,0,58204.9018,64244.7262,81174.7057,370572.9756,0
25,25,80,2.5,700,364,0.5900000000000001,0,77534.6649,0,207317.9813,207317.9813,4.759764958895353,316409.8722,0,400526.0799,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.8658,7.8658,5.7965,5.1088,51299.2354,64244.7262,42854.8089,235933.4355,0,58204.9018,64244.7262,98473.1185,428240.7278,0
26,26,90,2.5,700,364,0.5900000000000001,0,77534.6649,0,247687.3207,247687.3207,5.657387376035173,316409.8722,0,400526.0799,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.8658,7.8658,5.7965,5.1088,51299.2354,64244.7262,42854.8089,235933.4355,0,58204.9018,64244.7262,115771.5313,485908.4799,0
27,27,100,2.5,700,364,0.5900000000000001,0,77534.6649,0,288056.6601,288056.6601,6.555009793174994,316409.8722,0,400526.0799,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,7.8658,7.8658,5.7965,5.1088,51299.2354,64244.7262,42854.8089,235933.4355,0,58204.9018,64244.7262,133069.944,543576.2321,0
28,28,40,2.5,700,424,0.555,0,75190.702,0,37544.3178,37544.3178,0.9849898404176566,316409.8722,0,427592.5073,0.0,25.727683153927998,25.727683153927998,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,8.403,8.403,5.7965,5.431,54645.9876,64244.7262,41852.0197,235933.4355,0,58324.0829,64244.7262,25736.3545,185849.4814,0
29,29,50,2.5,700,424,0.5700000000000001,0,75190.702,0,78966.1832,78966.1832,1.905832637900418,316409.8722,0,427592.5073,0.0,26.42302594187201,26.42302594187201,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,8.403,8.403,5.7965,5.2881,54645.9876,64244.7262,41852.0197,235933.4355,0,59900.4095,64244.7262,43474.0347,246585.3535,0
30,30,60,2.5,700,424,0.5900000000000001,0,75190.702,0,123919.806,123919.806,2.9054139454407584,316409.8722,0,427592.5073,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,8.403,8.403,5.7965,5.1088,54645.9876,64244.7262,41852.0197,235933.4355,0,62002.1782,64244.7262,62738.5129,312905.2234,0
31,31,70,2.5,700,424,0.5900000000000001,0,75190.702,0,164289.1455,164289.1455,3.80303636258058,316409.8722,0,427592.5073,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,8.403,8.403,5.7965,5.1088,54645.9876,64244.7262,41852.0197,235933.4355,0,62002.1782,64244.7262,80036.9257,370572.9756,0
32,32,80,2.5,700,424,0.5900000000000001,0,75190.702,0,204658.4849,204658.4849,4.700658779720397,316409.8722,0,427592.5073,0.0,27.35014965913067,27.35014965913067,0.0,24.10521664872533,24.10521664872533,2062.0,2062.0,8.403,8.403,5.7965,5.1088,54645.9876,64244.7262,41852.0197,235933.4355,0,62002.1782,64244.7262,97335.3384,428240.7278,0
