,ID,E_Brent,PP,BR,AR,WO,NW,opt_C,opt_I,capex_h,opex_h,produc_h,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
17,17,50,0.5700000000000001,0,1,0,1,1,1,1,1,0.9,393113.5154,13163.4116,393113.5154,13163.4116,406276.927,0.27023580932426716,149772.2715,8424119.7812,8755322.0272,49.20491385283068,52.94580412397682,3.7408902711461414,49.20491385283068,52.94580412397682,3.7408902711461414,2038.0,2038.0,25.0809,25.0809,1.2177,1.2177,746347.0071,48460.2892,179293.9303,1407990.7044,27612.5508,746347.0071,48460.2892,179293.9303,1407990.7044,27612.5508
18,18,50,0.5700000000000001,1,0,1,0,1,1,1,1,0.9,393113.5154,48272.7788,393113.5154,48272.7788,441386.2942,2.3901412334246777,74658.2819,8424119.7812,8443226.5286,49.20491385283068,52.823927436898664,3.6190135840679867,49.20491385283068,52.823927436898664,3.6190135840679867,2038.0,2038.0,24.4059,24.4059,0.6082,0.6082,730774.4067,27370.7122,196509.4915,1421810.794,25769.8895,730774.4067,27370.7122,196509.4915,1421810.794,25769.8895
19,19,50,0.5700000000000001,1,0,0,1,1,1,1,1,0.9,393113.5154,56196.8967,393113.5154,56196.8967,449310.4121,1.3158976583127329,134922.9091,8424119.7812,8725972.5483,49.20491385283068,56.68710207902467,7.48218822619399,49.20491385283068,56.68710207902467,7.48218822619399,2039.0,2039.0,24.7318,24.7318,1.0241,1.0241,767064.0393,56455.1219,197453.8202,1495397.8081,25114.4147,767064.0393,56455.1219,197453.8202,1495397.8081,25114.4147
20,20,50,0.5700000000000001,0,1,1,0,1,1,1,1,1.1,393113.5154,36086.9691,393113.5154,36086.9691,429200.4845,5.568043206155334,25767.0176,8424119.7812,8438528.966,49.20491385283068,51.76948776748424,2.5645739146535633,49.20491385283068,51.76948776748424,2.5645739146535633,2038.0,2038.0,24.8636,24.8636,0.2142,0.2142,728743.1704,9043.6488,193632.1282,1386389.3213,25769.8895,728743.1704,9043.6488,193632.1282,1386389.3213,25769.8895
21,21,50,0.5700000000000001,0,1,0,1,1,1,1,1,1.1,393113.5154,27104.2611,393113.5154,27104.2611,420217.7765,0.6791280784408497,149772.2715,8424119.7812,8770164.6917,49.20491385283068,55.481412726856355,6.276498874025674,49.20491385283068,55.481412726856355,6.276498874025674,2039.0,2039.0,25.2836,25.2836,1.1622,1.1622,762825.6174,48460.2892,185168.0002,1441774.0022,25102.3189,762825.6174,48460.2892,185168.0002,1441774.0022,25102.3189
22,22,50,0.5700000000000001,1,0,1,0,1,1,1,1,1.1,393113.5154,62692.5045,393113.5154,62692.5045,455806.0198,3.1411525265112235,74658.2819,8424119.7812,8447472.4725,49.20491385283068,53.62587464736924,4.420960794538558,49.20491385283068,53.62587464736924,4.420960794538558,2038.0,2038.0,24.0787,24.0787,0.599,0.599,732051.7564,27370.7122,202645.6959,1443644.0738,25769.8895,732051.7564,27370.7122,202645.6959,1443644.0738,25769.8895
23,23,50,0.5700000000000001,1,0,0,1,1,1,1,1,1.1,393113.5154,79329.8745,393113.5154,79329.8745,472443.3899,1.897966641247483,134922.9091,8424119.7812,8739729.0717,49.20491385283068,57.99215152332454,8.787237670493857,49.20491385283068,57.99215152332454,8.787237670493857,2039.0,2039.0,24.245,24.245,1.0008,1.0008,769220.2655,56455.1219,207181.5468,1530414.7388,25114.4147,769220.2655,56455.1219,207181.5468,1530414.7388,25114.4147
24,24,50,0.5700000000000001,0,1,1,0,1,1,1,1,1,393113.5154,32308.4081,393113.5154,32308.4081,425421.9235,4.971830795651894,25767.0176,8424119.7812,8437219.0401,49.20491385283068,51.53664953430229,2.3317356814716113,49.20491385283068,51.53664953430229,2.3317356814716113,2038.0,2038.0,24.9632,24.9632,0.2152,0.2152,728405.2761,9043.6488,192018.5441,1380659.282,25769.8895,728405.2761,9043.6488,192018.5441,1380659.282,25769.8895
25,25,50,0.5700000000000001,0,1,0,1,1,1,1,1,1,393113.5154,19280.7502,393113.5154,19280.7502,412394.2656,0.44851757472157006,149772.2715,8424119.7812,8762743.3595,49.20491385283068,53.36065317014273,4.155739317312051,49.20491385283068,53.36065317014273,4.155739317312051,2038.0,2038.0,24.9179,24.9179,1.2082,1.2082,747101.4826,48460.2892,181816.126,1417384.7142,27612.5508,747101.4826,48460.2892,181816.126,1417384.7142,27612.5508
26,26,50,0.5700000000000001,1,0,1,0,1,1,1,1,1,393113.5154,55484.8253,393113.5154,55484.8253,448598.3407,2.765753747629082,74658.2819,8424119.7812,8445349.5005,49.20491385283068,53.225004588971835,4.020090736141159,49.20491385283068,53.225004588971835,4.020090736141159,2038.0,2038.0,24.2411,24.2411,0.6035,0.6035,731413.0815,27370.7122,199578.3351,1432730.359,25769.8895,731413.0815,27370.7122,199578.3351,1432730.359,25769.8895
27,27,50,0.5700000000000001,1,0,0,1,1,1,1,1,1,393113.5154,67774.2805,393113.5154,67774.2805,460887.7959,1.6070332848576656,134922.9091,8424119.7812,8732850.81,49.20491385283068,57.33981624381729,8.134902390986609,49.20491385283068,57.33981624381729,8.134902390986609,2039.0,2039.0,24.4856,24.4856,1.0123,1.0123,768142.1524,56455.1219,202312.4981,1512911.983,25114.4147,768142.1524,56455.1219,202312.4981,1512911.983,25114.4147
