,ID,D,E_Brent,Water_Injected_opex,reuti_u,capex_h,opex_h,tarifa_h,produc_h,Opt_ActivacionBasica_a_ab,Opt_Activacion_e1,Opt_Activacion_e2,Opt_Activacion_e3,Opt_Activacion_e4,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,Volumenes,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
22,22,1,50,0.3,0,1,1,0.9,1,1,0,0,1,0,8670.0283,-40680.0065,8670.0283,-40680.0065,-32009.9782,0.0,873968.4235,383560.6541,1558692.0554,58.664967263999976,0.5926933336480001,25.198988246208113,24.606294912560116,0.5926933336480001,25.198988246208113,24.606294912560116,2053.0,2053.0,20.4731,20.4731,15.2919,15.2919,117344.402,193652.5553,0,292600.0003,13613.0212,117344.402,193652.5553,0,292600.0003,13613.0212
23,23,1,50,0.3,0,1,1,0.9,1,1,0,0,0,1,8670.0283,-45778.6918,8670.0283,-45778.6918,-37108.6635,0.0,418200.628,383560.6541,846099.4965,21.78366081599998,0.5926933336480001,9.168009072698664,8.575315739050664,0.5926933336480001,9.168009072698664,8.575315739050664,2054.0,2054.0,27.5055,27.5055,20.1437,20.1437,52527.3332,63329.9765,0,81472.7379,2724.0916,52527.3332,63329.9765,0,81472.7379,2724.0916
24,24,1,50,0.3,0,1,1,0.9,1,1,1,1,1,1,8670.0283,-56648.6789,8670.0283,-56648.6789,-47978.6506,0.0,2341245.8606,383560.6541,3513963.1297,158.9011663199999,0.5926933336480001,70.20360839467689,69.61091506102889,0.5926933336480001,70.20360839467689,69.61091506102889,2055.0,2055.0,18.9645,18.9645,14.5815,14.5815,285848.695,561030.9982,32121.4748,858533.8645,27511.3471,285848.695,561030.9982,32121.4748,858533.8645,27511.3471
25,25,1,50,0.3,0,1,1,1.1,1,1,1,0,0,0,8024.8009,89020.4986,8024.8009,89020.4986,97045.2996,0.6028340123757788,392658.6658,393859.7552,1165915.8897,45.07856308799996,0.5345833115480001,19.089187144618162,18.55460383307016,0.5345833115480001,19.089187144618162,18.55460383307016,2049.0,2049.0,17.2354,17.2354,9.068,9.068,108685.4152,147669.7903,0,363230.6201,9830.115,108685.4152,147669.7903,0,363230.6201,9830.115
26,26,1,50,0.3,0,1,1,1.1,1,1,0,1,0,0,8024.8009,-69847.4428,8024.8009,-69847.4428,-61822.6418,0.0,656418.1434,393859.7552,1242493.876,38.81524348799997,0.5345833115480001,15.979388250883986,15.444804939335985,0.5345833115480001,15.979388250883986,15.444804939335985,2051.0,2051.0,23.1113,23.1113,18.1348,18.1348,93738.2629,156378.6761,0,200704.0219,12409.7247,93738.2629,156378.6761,0,200704.0219,12409.7247
27,27,1,50,0.3,0,1,1,1.1,1,1,0,0,1,0,8024.8009,-47842.2715,8024.8009,-47842.2715,-39817.4705,0.0,873968.4235,393859.7552,1634609.241,58.664967263999976,0.5345833115480001,24.702210091608116,24.16762678006011,0.5345833115480001,24.702210091608116,24.16762678006011,2052.0,2052.0,21.1702,21.1702,15.5989,15.5989,122640.4975,193652.5553,0,291449.9056,14974.3233,122640.4975,193652.5553,0,291449.9056,14974.3233
28,28,1,50,0.3,0,1,1,1.1,1,1,0,0,0,1,8024.8009,-47676.1907,8024.8009,-47676.1907,-39651.3898,0.0,418200.628,393859.7552,874959.885,21.78366081599998,0.5345833115480001,8.90843394892533,8.37385063737733,0.5345833115480001,8.90843394892533,8.37385063737733,2053.0,2053.0,28.2301,28.2301,20.7306,20.7306,54251.3374,63329.9765,0,80926.425,2996.5008,54251.3374,63329.9765,0,80926.425,2996.5008
29,29,1,50,0.3,0,1,1,1.1,1,1,1,1,1,1,8024.8009,-75280.0847,8024.8009,-75280.0847,-67255.2838,0.0,2341245.8606,393859.7552,3736399.626,158.9011663199999,0.5345833115480001,68.98814311800363,68.45355980645563,0.5345833115480001,68.98814311800363,68.45355980645563,2054.0,2054.0,19.8245,19.8245,14.8364,14.8364,303444.5695,561030.9982,28725.5348,856208.3005,30262.4818,303444.5695,561030.9982,28725.5348,856208.3005,30262.4818
30,30,1,50,0.3,0,1,1,1,0.9,1,1,0,0,0,8284.4341,64952.0368,8284.4341,64952.0368,73236.4709,0.43984585070697874,392658.6658,388710.2046,1072951.4335,45.07856308799996,0.5345833115480001,17.274048691238065,16.739465379690063,0.5345833115480001,17.274048691238065,16.739465379690063,2049.0,2049.0,17.2754,17.2754,10.0252,10.0252,99056.3172,147669.7903,0,329792.6934,9830.115,99056.3172,147669.7903,0,329792.6934,9830.115
31,31,1,50,0.3,0,1,1,1,0.9,1,0,1,0,0,8284.4341,-84418.3946,8284.4341,-84418.3946,-76133.9605,0.0,656418.1434,388710.2046,1190112.3573,38.81524348799997,0.5345833115480001,14.140573529552132,13.605990218004132,0.5345833115480001,14.140573529552132,13.605990218004132,2050.0,2050.0,23.8196,23.8196,20.4968,20.4968,88552.3991,156378.6761,0,182447.8118,13650.6971,88552.3991,156378.6761,0,182447.8118,13650.6971
